Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U31,HSCDRRN400MD2A3,hscdrrn400md2a3,44.8866,-49.79335,180.0,bottom
U32,TCA9548APWR,TSSOP-24_4.4x7.8mm_P0.65mm,91.4464,-45.5091,-180.0,top
U33,HSCDRRN400MD2A3,hscdrrn400md2a3,60.652,-38.8356,180.0,top
U34,HSCDRRN400MD2A3,hscdrrn400md2a3,44.7254,-38.8356,180.0,top
U35,HSCDRRN400MD2A3,hscdrrn400md2a3,28.7996,-38.8234,180.0,top
U36,HSCDRRN400MD2A3,hscdrrn400md2a3,76.6786,-38.8996,180.0,top
U4,HSCDRRN400MD2A3,hscdrrn400md2a3,46.3192,-153.9748,180.0,bottom
U5,HSCDRRN400MD2A3,hscdrrn400md2a3,29.0274,-153.9748,180.0,bottom
U6,HSCDRRN400MD2A3,hscdrrn400md2a3,80.8906,-142.5448,180.0,top
U7,HSCDRRN400MD2A3,hscdrrn400md2a3,63.5362,-142.5448,180.0,top
U8,HSCDRRN400MD2A3,hscdrrn400md2a3,46.1192,-142.5448,180.0,top
U9,HSCDRRN400MD2A3,hscdrrn400md2a3,28.8274,-142.5448,180.0,top
